year,region,school,student
2015,노원구,초등학교,23.9
2015,노원구,중학교,29.9
2015,노원구,고등학교,31
2015,은평구,유치원,18.8
2015,은평구,초등학교,24.3
2015,은평구,중학교,28.9
2015,은평구,고등학교,29.6
2015,서대문구,유치원,21.1
2015,서대문구,초등학교,23.4
2015,서대문구,중학교,26.4
2015,서대문구,고등학교,29.9
2015,마포구,유치원,22.1
2015,마포구,초등학교,23.8
2015,마포구,중학교,28.8
2015,마포구,고등학교,30.6
2015,양천구,유치원,20.9
2015,양천구,초등학교,24.7
2015,양천구,중학교,30.3
2015,양천구,고등학교,33.1
2015,강서구,유치원,20.8
2015,강서구,초등학교,23.8
2015,강서구,중학교,28.4
2015,강서구,고등학교,29.2
2015,구로구,유치원,22
2015,구로구,초등학교,23.8
