학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000008298,성덕여자중학교,중학교,1977-09-05,사립,본교,운영,서울특별시 강동구 천호동 23-3,서울특별시 강동구 구천면로 396,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.54996367,127.1419039,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008159,구일중학교,중학교,1990-01-20,공립,본교,운영,서울특별시 구로구 구로동 685-161,서울특별시 구로구 구일로 90-133,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.49530091,126.8737702,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008383,영등포중학교,중학교,1906-04-07,공립,본교,운영,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 5,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-07-09,37.5080846,126.9331435,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008116,신도중학교,중학교,2010-05-19,공립,본교,운영,서울특별시 은평구 진관동 208,서울특별시 은평구 진관1로 77-30,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.63298366,126.9308787,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008433,길음중학교,중학교,2012-03-01,공립,본교,운영,서울특별시 성북구 길음동 635-7,서울특별시 성북구 길음로 144,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.61409036,127.0174557,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008100,동원중학교,중학교,1986-05-06,공립,본교,운영,서울특별시 중랑구 망우동 85-3,서울특별시 중랑구 양원역로 32,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.603807,127.1094981,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008423,양진중학교,중학교,2006-05-14,공립,본교,운영,서울특별시 광진구 광장동 414-1,서울특별시 광진구 워커힐로 32,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.54457517,127.098348,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008174,가산중학교,중학교,1971-03-03,공립,본교,운영,서울특별시 금천구 독산동 300-21,서울특별시 금천구 시흥대로115길 48,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.46877706,126.8944749,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008421,자양중학교,중학교,1984-03-01,공립,본교,운영,서울특별시 광진구 자양동 524-10,서울특별시 광진구 뚝섬로41길 33,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.53539805,127.074384,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008419,행당중학교,중학교,1968-10-02,공립,본교,운영,서울특별시 성동구 행당동 66-3,서울특별시 성동구 왕십리로 189,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.55455404,127.0419634,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008257,서울체육중학교,중학교,2004-03-01,공립,본교,운영,서울특별시 송파구 방이동 88-14,서울특별시 송파구 강동대로 232,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.52233038,127.1298226,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008424,광남중학교,중학교,1993-05-04,공립,본교,운영,서울특별시 광진구 광장동 554-15,서울특별시 광진구 아차산로70길 17-62,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.54083041,127.101621,2024-09-20,B555223,재단법인한국지방교육행정연구재단
